refuser_id,real_estate_alert_id,subscription_date,unsubscription_date,platform,distribution_type,estate_type,living_area_min,living_area_max,price_min,price_max,number_of_rooms,location_zipcodes,location_departement,gateway
dc1fdcf7-dd4a-4d29-be7c-8d5d23d52618,63211857,2021-09-09 18:01:03.000000,2021-10-08 22:47:47.000000,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{17730},,
bce0f525-0fe8-4074-95e3-84f805f38389,62522466,2021-07-01 19:43:30.000000,,LOGICIMMO,RENT,,30,1000,0,600,"{1,2,3,4,5}",{35000},,
1dcb5a8b-917c-459a-a1bd-3b46610a84f4,62982629,2021-08-18 02:01:20.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{83000},,
f596a761-4e73-464a-9cb1-9dfe9a0290de,61241448,2021-02-18 20:13:02.000000,2021-03-06 14:02:13.000000,LOGICIMMO,RENT,,0,10000,0,750,"{1,2,3,4,5}",,{69},
6dda3e62-2ad1-4049-9fde-9b4517d755b9,63852238,2021-11-30 19:01:06.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},100,1000,0,390000,"{1,2,3,4,5}",{72000},,
4cbfc60b-4ea9-4044-8e43-ff1454f053ac,63444079,2021-10-05 08:39:52.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",{13008},,
551089c1-691d-45c4-adea-539a1bf8c07c,61152564,2021-02-09 10:48:27.000000,2021-02-10 09:14:18.000000,LOGICIMMO,RENT,,0,1000,1280,1920,"{1,2,3,4,5}",{94270},,
554cdbd5-ab2d-48df-a7f6-d8ae79692854,62946462,2021-08-14 00:47:09.000000,,LOGICIMMO,RENT,{APARTMENT},0,1000,0,0,"{1,2,3,4,5}",{06000},,
32055265-ddd5-4ae4-8f8c-768e474fe5c0,62619809,2021-07-12 07:18:39.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{66660},,
377168c5-204d-4b34-8d89-c072ff263cff,61455499,2021-03-14 23:20:20.000000,2021-03-28 08:58:18.000000,LOGICIMMO,BUY,"{HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",0,1000,0,0,"{1,2,3,4,5}",{66470},,
603274bf-5fe4-4d32-a33f-925b77330392,62798006,2021-07-30 07:48:28.000000,,LOGICIMMO,BUY,{APARTMENT},60,1000,200000,320000,"{1,2,3,4,5}",{06210},,
c83f7caa-77c5-4517-99d8-286404f31e90,61286448,2021-02-23 18:57:48.000000,2021-04-03 10:31:06.000000,LOGICIMMO,BUY,{APARTMENT},0,1000,0,500000,"{1,2,3,4,5}","{75015,94130,94300}",,
43e9dff7-1e09-41f4-93ab-b3a7ebed86f8,62124929,2021-05-19 12:47:38.000000,2021-08-14 09:56:18.000000,LOGICIMMO,BUY,{HOUSEORVILLA},120,1000,0,170000,"{1,2,3,4,5}",{16000},,
13aeec44-d423-48df-80a8-f323dbca193e,62272692,2021-06-04 15:45:29.000000,2021-09-23 11:18:31.000000,LOGICIMMO,BUY,"{BLOCKBUILDING,HOUSEORVILLA,LOCAL,OFFICE}",0,1000,150000,0,"{1,2,3,4,5}",,{79},
fd8e5206-38c6-4233-8623-0cab2ae316d1,63804454,2021-11-23 05:18:45.000000,,LOGICIMMO,BUY,{APARTMENT},68,1000,0,250000,"{1,2,3,4,5}","{06110,06400}",,
0a7c0732-f6df-46d9-b045-e25f00af91f1,62607352,2021-07-10 16:34:24.000000,,LOGICIMMO,RENT,{APARTMENT},0,1000,0,0,"{1,2,3,4,5}",{20200},,
73827522-74d5-4a62-8a1d-3cba92dab800,61782579,2021-04-18 01:08:34.000000,,LOGICIMMO,BUY,,0,1000,0,120000,"{1,2,3,4,5}",{06000},,
4348ec49-5fd3-45ea-babe-cdd47f8dad98,62196102,2021-05-27 19:24:24.000000,,LOGICIMMONEUF,NEWSELL,{APARTMENT},,,,300000,"{3,4}",,{83},
57c27415-465b-47ba-a013-88ce2b6aa408,61795990,2021-04-19 11:43:11.000000,,LOGICIMMO,RENT,,0,1000,0,130000,"{1,2,3,4,5}",{44350},,
cdf0c59f-8aed-457a-98de-188026a7b51e,60830775,2021-01-04 18:23:49.000000,2021-03-10 14:55:32.000000,LOGICIMMO,RENT,{APARTMENT},25,10000,0,2000000000,"{1,2,3,4,5}",,{73},
6c25342a-41bf-4282-8901-dfa0b1de686b,60865197,2021-01-08 19:17:37.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,10000,0,2000000000,"{1,2,3,4,5}",,,
4baff96b-765a-49c8-9190-c66d7a4b09e2,60920424,2021-01-14 21:06:36.000000,2021-02-17 09:53:29.000000,LOGICIMMO,RENT,{APARTMENT},0,10000,0,750,"{1,2,3,4,5}","{69510,69850}",,
99dcc1d7-474d-4707-bd69-d75526237746,61725458,2021-04-12 15:44:13.000000,,LOGICIMMO,BUY,{YARD},500,1000,0,150000,"{1,2,3,4,5}","{30210,30320,63340}",,
456347c3-d9fc-4a39-829f-7d397bdaa723,63923937,2021-12-12 21:26:13.000000,,LOGICIMMO,RENT,"{HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",0,1000,0,0,"{1,2,3,4,5}","{67220,67680}",,
221c228f-b60d-4bee-a661-4a8f75d7001e,61793724,2021-04-19 07:55:01.000000,,LOGICIMMO,RENT,{HOUSEORVILLA},0,1000,0,0,"{1,2,3,4,5}",,{76},
f3dfc962-77ad-43b7-9ce0-93145de0d063,63858876,2021-12-01 20:43:53.000000,,LOGICIMMONEUF,NEWSELL,,,,,,"{1,2,3,4,5}",{93800},,
8e2c7b80-1368-4023-a7bb-5e7ce8a23f45,61881755,2021-04-26 20:37:03.000000,2021-09-04 15:07:07.000000,LOGICIMMO,BUY,{APARTMENT},60,1000,0,0,"{1,2,3,4,5}",{78420},,
774b84b6-4364-4a09-bceb-bea7539d6ede,63555809,2021-10-20 05:13:16.000000,,LOGICIMMO,BUY,,0,1000,0,400000,"{1,2,3,4,5}",,{06},
cad19a3b-7f3d-4018-b47f-2a8fe8cb3c3e,63300395,2021-09-18 15:33:55.000000,2021-11-27 11:44:22.000000,LOGICIMMO,RENT,,0,1000,0,600,"{1,2,3,4,5}",{33000},,
0b9d2f8e-af6a-4819-bcad-afa8531aed1f,61329768,2021-02-28 17:35:34.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{59199},,
52ac6b99-51ae-479a-a33c-23423e2e1c0b,63658606,2021-11-02 21:28:28.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{95400},,
eac8202d-2884-459a-8808-db32cb79e839,61517364,2021-03-21 19:59:10.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{64420},,
ca6f9908-cd97-4bef-8a61-d2b9ac3604af,61090698,2021-02-02 14:35:03.000000,2021-06-19 17:28:30.000000,LOGICIMMO,BUY,"{HOUSEORVILLA,LOFTORWORKSHOPORSURFACE}",160,10000,0,1100000,"{1,2,3,4,5}","{13520,13890,13910}",,
148af883-c0ff-43ee-a698-a3ff0b500c6b,63589565,2021-10-24 16:37:13.000000,2021-10-29 12:18:23.000000,LOGICIMMONEUF,INVESTMENT,,,,,,"{1,2,3,4,5}",{91300},,
932000c0-52d0-42ff-b247-71707e8db12e,61363535,2021-03-04 13:58:00.000000,,LOGICIMMO,BUY,{HOUSEORVILLA},0,10000,0,2000000000,"{1,2,3,4,5}",{01280},,
0ae37431-6e8e-4920-b270-3ed680da4adb,62145696,2021-05-21 16:41:44.000000,2021-08-18 12:31:13.000000,LOGICIMMO,RENT,,0,1000,0,580,"{1,2,3,4,5}",{69002},,
5299980e-5374-4b9a-a1da-a2f6891afd5d,63859288,2021-12-01 21:47:24.000000,,LOGICIMMO,BUY,,80,1000,0,300000,"{4,5}",{69000},,
c741e5b8-f7b8-4e24-bfcd-7094a974e4c2,61038877,2021-01-27 18:34:58.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",,{67},
cb164698-ad83-4e13-84c6-db81ef43504d,63659756,2021-11-03 02:45:37.000000,,LOGICIMMO,RENT,,0,1000,0,0,"{1,2,3,4,5}",{76600},,
fe84ff6e-daa6-4792-a736-fd090c321ed5,63365176,2021-09-25 15:24:18.000000,2021-10-24 20:47:46.000000,LOGICIMMO,RENT,{HOUSEORVILLA},79,1000,0,85,"{1,2,3,4,5}",,{73},
ff0bdf77-cf3c-4b42-9024-577a6b9855c1,61456006,2021-03-15 07:08:49.000000,,LOGICIMMO,BUY,,0,1000,0,0,"{1,2,3,4,5}",{13114},,
96eb8cbb-c66d-4ff4-8dfc-38eae6e02420,62642120,2021-07-14 10:55:39.000000,,LOGICIMMO,RENT,{APARTMENT},40,1000,0,480,"{2,3}","{69780,69800,69960}",,
7fa0e78c-7b3f-4c2c-a96a-893093745144,63293917,2021-09-17 19:44:06.000000,,LOGICIMMO,BUY,"{APARTMENT,HOUSEORVILLA}",0,1000,0,130000,"{1,2,3,4,5}","{84400,84490}",,
2f38c451-e561-4ff3-b82e-2fe38405fca6,63893072,2021-12-07 15:54:04.000000,2021-12-10 09:17:46.000000,LOGICIMMO,BUY,{APARTMENT},0,1000,0,0,"{1,2,3,4,5}",,{10},
